iter	Accuracy	MultiClass
0	0.4944497777	2.153423065
1	0.563134615	2.034769063
2	0.5909147271	1.946412317
3	0.5951625828	1.884622549
4	0.5929546849	1.817475518
5	0.5782247574	1.756977949
6	0.5740287029	1.716129804
7	0.5895684866	1.665629951
8	0.5901089644	1.623091169
9	0.5893019323	1.590292228
10	0.5847494305	1.555314475
11	0.5824189465	1.527211654
12	0.5912098357	1.497862389
13	0.5915715069	1.470396341
14	0.594917586	1.443568917
15	0.5948036528	1.421435628
16	0.5954232804	1.403479276
17	0.5952800217	1.384782256
18	0.618926414	1.360227239
19	0.620288717	1.340740398
20	0.619343075	1.326148003
21	0.6257621532	1.307668186
22	0.6259656173	1.287675006
23	0.6248535291	1.271599536
24	0.6331826248	1.251621689
25	0.6355344341	1.232871949
26	0.6385426476	1.214081014
27	0.6388079676	1.198846537
28	0.6412150128	1.181614912
29	0.6466234173	1.164568328
30	0.650282942	1.149480945
31	0.6505004534	1.139089065
32	0.6517566391	1.127366635
33	0.6499547255	1.11436324
34	0.6498183163	1.105089684
35	0.6528691102	1.092555497
36	0.6543714442	1.081539396
37	0.6549324473	1.071720442
38	0.656102352	1.062775195
39	0.6555384137	1.053900111
40	0.6552368981	1.047762683
41	0.657845499	1.038170684
42	0.6564393544	1.029926528
43	0.6587981915	1.022632433
44	0.6588553637	1.017661335
45	0.6595776877	1.010546274
46	0.6605434296	1.002299568
47	0.6623547751	0.9963674261
48	0.6632924246	0.9893543997
49	0.6630701056	0.9846522738
50	0.6643598131	0.9791213402
51	0.6643829006	0.9749548638
52	0.6686237901	0.9703585348
53	0.6726457417	0.9640564921
54	0.6732110594	0.9576398149
55	0.6731717518	0.9528644996
56	0.6735426259	0.9489637431
57	0.6710326809	0.9446707619
58	0.6711494837	0.9401806331
59	0.6720933499	0.9375742513
60	0.672992357	0.9327967603
61	0.6728117014	0.9294293329
62	0.6771062955	0.9246927225
63	0.6771068445	0.9213965792
64	0.6771890327	0.920681396
65	0.677862851	0.9194167247
