iter	Passed	Remaining
0	638	637533
1	1237	617639
2	1853	616026
3	2409	600076
4	2963	589819
5	3528	584579
6	4088	580039
7	4681	580532
8	5236	576562
9	5782	572441
10	6304	566852
11	6895	567727
12	7534	572014
13	8084	569385
14	8725	572948
15	9350	575050
16	9918	573510
17	10494	572508
18	11049	570496
19	11655	571138
20	12201	568842
21	12763	567408
22	13277	564000
23	13830	562458
24	14361	560083
25	14937	559566
26	15485	558060
27	15989	555057
28	16555	554325
29	17124	553701
30	17668	552272
31	18234	551601
32	18796	550790
33	19363	550138
34	19875	548008
35	20509	549207
36	21085	548784
37	21664	548449
38	22246	548188
39	22792	547013
40	23342	545995
41	23925	545721
42	24525	545829
43	25088	545094
44	25698	545380
45	26258	544575
46	26832	544070
47	27429	544008
48	28122	545812
49	28777	546774
50	29394	546962
51	30065	548109
52	30648	547628
53	31171	546077
54	31745	545453
55	32331	545022
56	32881	543982
57	33450	543274
58	34028	542728
59	34615	542315
60	35256	542713
61	35843	542270
62	36389	541222
63	36990	540984
64	37237	535648
65	37775	534581
66	38382	534484
67	38958	533961
68	39563	533816
69	39709	527571
70	40316	527516
71	40630	523679
72	40874	519048
73	41451	518708
74	42000	518010
75	42662	518686
76	43114	516818
77	43664	516140
78	44353	517079
79	44612	513040
80	45151	512269
81	45764	512337
82	46394	512578
83	47045	513015
84	47530	511650
85	48273	513051
86	48868	512840
87	49465	512638
88	49752	509268
89	50131	506887
90	50777	507221
91	51362	506928
92	51617	503405
93	52224	503354
94	52852	503490
95	53399	502845
96	53979	502508
97	54730	503745
98	55324	503512
99	55487	499391
100	56169	499964
101	56508	497493
102	57094	497219
103	57625	496470
104	58155	495710
105	58826	496140
106	59373	495519
107	59891	494657
108	60313	493020
109	60913	492843
110	61463	492259
111	62060	492050
112	62516	490725
113	63120	490565
114	63669	489981
115	64247	489609
116	64325	485468
117	64929	485321
118	65585	485554
119	66223	485639
120	66846	485605
121	67456	485465
122	67611	482078
123	68233	482037
124	68859	482017
125	69439	481668
126	69934	480730
127	70368	479387
128	70990	479324
129	71634	479401
130	71715	475728
